"행정구역별",2021.1/2,2021.1/2,2021.1/2,2021.1/2,2021.2/2,2021.2/2,2021.2/2,2021.2/2,2022.1/2,2022.1/2,2022.1/2,2022.1/2,2022.2/2,2022.2/2,2022.2/2,2022.2/2
"행정구역별",15세이상인구 (천명),경제활동인구 (천명),취업자 (천명),경제활동참가율 (％),15세이상인구 (천명),경제활동인구 (천명),취업자 (천명),경제활동참가율 (％),15세이상인구 (천명),경제활동인구 (천명),취업자 (천명),경제활동참가율 (％),15세이상인구 (천명),경제활동인구 (천명),취업자 (천명),경제활동참가율 (％)
"서울 종로구",138.5,76.7,73.1,55.3,138.8,81.1,77.8,58.4,137.8,81.2,78.3,58.9,135.8,74.0,71.8,54.5
"서울 중구",118.8,68.9,65.4,58.0,120.1,70.2,67.1,58.4,119.3,72.4,69.4,60.7,118.0,70.7,67.6,59.9
"서울 용산구",204.7,128.3,121.0,62.7,206.1,128.9,122.7,62.5,203.5,128.3,122.8,63.0,199.4,123.5,119.1,62.0
"서울 성동구",261.6,155.6,147.1,59.5,260.1,154.3,146.7,59.3,256.9,156.5,150.1,60.9,254.6,157.8,152.7,62.0
"서울 광진구",320.2,190.8,179.8,59.6,318.7,190.4,183.2,59.8,317.8,198.5,190.7,62.4,316.5,194.4,188.2,61.4
"서울 동대문구",315.8,180.0,171.0,57.0,315.8,181.8,173.3,57.6,315.8,186.1,178.5,59.0,316.9,168.3,162.9,53.1
"서울 중랑구",348.5,202.4,190.6,58.1,346.2,200.8,190.5,58.0,346.0,202.0,193.5,58.4,345.2,208.1,198.8,60.3
"서울 성북구",392.4,216.3,204.3,55.1,391.3,216.8,206.8,55.4,391.1,221.3,211.0,56.6,392.0,223.7,214.0,57.1
"서울 강북구",270.8,147.7,139.6,54.5,268.8,148.4,140.1,55.2,265.5,144.0,137.0,54.3,264.2,150.4,143.9,56.9
"서울 도봉구",282.3,159.3,149.5,56.4,280.0,161.0,151.6,57.5,277.4,158.0,150.3,57.0,276.0,162.3,154.9,58.8
"서울 노원구",450.8,254.2,241.7,56.4,446.6,251.2,242.2,56.3,443.6,251.3,242.2,56.7,442.1,259.2,249.6,58.6
"서울 은평구",412.4,237.7,224.6,57.6,413.1,243.3,232.1,58.9,410.3,238.3,227.9,58.1,409.6,241.4,232.0,58.9
"서울 서대문구",287.6,161.2,152.2,56.1,287.1,160.5,152.3,55.9,286.8,159.6,152.8,55.7,286.7,166.8,159.7,58.2
"서울 마포구",328.5,203.1,195.6,61.8,331.8,206.8,199.5,62.3,330.5,208.0,201.6,62.9,328.2,205.9,198.1,62.7
"서울 양천구",378.6,222.3,210.5,58.7,375.8,219.4,211.3,58.4,372.1,223.7,214.3,60.1,370.7,223.4,215.9,60.3
"서울 강서구",504.3,305.5,288.1,60.6,503.6,304.8,292.9,60.5,500.9,310.8,297.9,62.0,500.8,313.3,303.2,62.6
"서울 구로구",378.8,228.8,217.2,60.4,374.8,231.9,221.0,61.9,371.9,229.3,221.6,61.6,370.8,239.3,231.2,64.5
"서울 금천구",222.0,137.2,129.2,61.8,222.8,137.3,130.1,61.6,223.1,140.1,133.1,62.8,223.1,146.2,139.4,65.5
"서울 영등포구",358.8,216.2,206.9,60.2,358.7,223.1,214.4,62.2,356.9,228.4,219.3,64.0,356.1,230.4,221.8,64.7
"서울 동작구",355.6,207.0,195.7,58.2,355.0,212.5,200.9,59.9,353.3,215.0,204.4,60.9,352.1,210.4,200.2,59.8
"서울 관악구",465.2,266.4,249.8,57.3,464.5,272.2,256.2,58.6,462.6,282.1,268.7,61.0,463.8,285.5,272.3,61.6
"서울 서초구",343.5,197.8,188.6,57.6,342.4,199.1,191.0,58.2,336.2,195.6,189.3,58.2,331.7,201.5,195.3,60.7
"서울 강남구",439.8,262.4,250.0,59.7,444.3,267.4,257.0,60.2,442.3,264.4,255.6,59.8,438.1,255.4,248.3,58.3
"서울 송파구",562.2,340.6,321.4,60.6,561.8,339.4,324.8,60.4,562.1,345.3,332.0,61.4,561.7,341.0,330.5,60.7
"서울 강동구",396.5,243.6,234.3,61.4,396.7,243.3,234.5,61.3,393.2,244.9,235.8,62.3,393.7,249.3,238.3,63.3
