,y_coor,sgg_cd,theme_cd,sido_nm,corp_cnt,sgg_nm,sido_cd,upregion_vs_corp_per,theme_cd_nm,corp_vs_family_rate,x_coor,biz_worker_cnt,avg_worker_rate,corp_vs_worker_rate,corp_vs_ppltn_rate
0,1819931,040,8007,대전광역시,322,유성구,25,17.5,기타의료업,479.6,985041,5006,16,631.4,1106.9
1,1825925,080,8007,경상북도,215,상주시,37,5.3,기타의료업,201.6,1050825,4899,23,181.7,427
2,1919651,014,8007,경기도,213,수원시 영통구,31,1.7,기타의료업,678.6,960697,2481,12,784.8,1661.4
3,1686293,140,8007,부산광역시,175,수영구,21,5.1,기타의료업,450.3,1146757,2803,16,352,959.5
4,1963392,100,8007,서울특별시,309,도봉구,11,3.4,기타의료업,415.7,958762,7361,24,241.2,983
5,1708172,570,8007,경상남도,109,산청군,38,2.6,기타의료업,145.6,1034913,2026,19,147.5,294.4
6,1945680,520,8007,강원도,92,횡성군,32,3.3,기타의료업,216.4,1051007,1163,13,242.7,472.7
7,1831438,020,8007,충청남도,215,공주시,34,6.9,기타의료업,215.9,961940,3552,17,263.3,481.5
8,1951313,020,8007,서울특별시,204,중구,11,2.3,기타의료업,275.1,955475,4612,23,1899.2,558.8
9,1712887,100,8007,경상남도,310,양산시,38,7.4,기타의료업,461.2,1139938,6490,21,524.7,1103.4
10,1984191,200,8007,경기도,471,파주시,31,3.7,기타의료업,385.8,939259,7248,15,474.2,968.1
11,1969457,510,8007,인천광역시,148,강화군,23,4.9,기타의료업,193.4,906788,2691,18,174.8,435.2
12,1951538,160,8007,서울특별시,544,강서구,11,6,기타의료업,459.5,940183,11207,21,521.2,1006.4
13,1840335,010,8007,세종특별자치시,304,세종시,29,100,기타의료업,477.9,978417,4726,16,500.3,1173.5
14,1911640,191,8007,경기도,230,용인시 처인구,31,1.8,기타의료업,449.4,978073,4734,21,618.3,1099.8
15,1858061,044,8007,충청북도,209,청주시 청원구,33,8.8,기타의료업,399.7,999226,2839,14,456.7,914.5
16,1644673,020,8007,전라남도,415,여수시,36,12.5,기타의료업,275,1014853,5782,14,345.5,627.2
17,1760385,040,8007,대구광역시,279,남구,22,10.4,기타의료업,252.7,1098023,6454,23,205.8,508.5
18,1923340,020,8007,강원도,476,원주시,32,17,기타의료업,325.9,1038061,11947,25,346.4,734.3
19,1677166,040,8007,부산광역시,124,영도구,21,3.6,기타의료업,406.5,1142434,2843,23,371.7,887.3
20,1937420,021,8007,경기도,249,성남시 수정구,31,2,기타의료업,421.7,964983,3971,16,343.1,914.3
21,1918088,012,8007,경기도,280,수원시 권선구,31,2.2,기타의료업,520.9,953861,4431,16,432.5,1253.9
22,1624107,550,8007,전라남도,140,고흥군,36,4.2,기타의료업,212.4,980296,2006,14,167.6,409
23,1815486,030,8007,충청남도,160,보령시,34,5.1,기타의료업,269.6,920373,3662,23,285.3,579.7
24,1813687,530,8007,충청북도,105,옥천군,33,4.4,기타의료업,202.8,1014054,2100,20,234.4,450.1
