,y_coor,sgg_cd,theme_cd,sido_nm,corp_cnt,sgg_nm,sido_cd,upregion_vs_corp_per,theme_cd_nm,corp_vs_family_rate,x_coor,biz_worker_cnt,avg_worker_rate,corp_vs_worker_rate,corp_vs_ppltn_rate
0,1819931,040,9003,대전광역시,344,유성구,25,19.8,병원,448.9,985041,5387,16,591,1036.2
1,1825925,080,9003,경상북도,77,상주시,37,3.6,병원,562.8,1050825,1255,16,507.2,1192.3
2,1919651,014,9003,경기도,381,수원시 영통구,31,3,병원,379.4,960697,8067,21,438.8,928.8
3,1686293,140,9003,부산광역시,236,수영구,21,5.7,병원,333.9,1146757,4642,20,261,711.5
4,1963392,100,9003,서울특별시,283,도봉구,11,2,병원,453.8,958762,3477,12,263.3,1073.3
5,1708172,570,9003,경상남도,21,산청군,38,0.7,병원,755.6,1034913,263,13,765.4,1528.3
6,1945680,520,9003,강원도,23,횡성군,32,1.8,병원,865.7,1051007,258,11,970.7,1890.7
7,1831438,020,9003,충청남도,102,공주시,34,5.7,병원,455,961940,2247,22,554.9,1014.9
8,1951313,020,9003,서울특별시,449,중구,11,3.1,병원,125,955475,5659,13,862.9,253.9
9,1712887,100,9003,경상남도,298,양산시,38,10.2,병원,479.7,1139938,8517,29,545.9,1147.8
10,1984191,200,9003,경기도,345,파주시,31,2.7,병원,526.6,939259,5145,15,647.3,1321.7
11,1969457,510,9003,인천광역시,42,강화군,23,1.5,병원,681.3,906788,668,16,616,1533.6
12,1951538,160,9003,서울특별시,688,강서구,11,4.8,병원,363.3,940183,9622,14,412.1,795.7
13,1840335,010,9003,세종특별자치시,307,세종시,29,100,병원,473.3,978417,4180,14,495.4,1162.1
14,1911640,191,9003,경기도,187,용인시 처인구,31,1.5,병원,552.7,978073,2507,13,760.4,1352.7
15,1858061,044,9003,충청북도,165,청주시 청원구,33,11.4,병원,506.3,999226,2814,17,578.5,1158.4
16,1644673,020,9003,전라남도,257,여수시,36,15.6,병원,444,1014853,4680,18,557.9,1012.7
17,1760385,040,9003,대구광역시,192,남구,22,6.5,병원,367.2,1098023,7632,40,299.1,739
18,1923340,020,9003,강원도,340,원주시,32,26.6,병원,456.2,1038061,7529,22,485,1028.1
19,1677166,040,9003,부산광역시,110,영도구,21,2.7,병원,458.2,1142434,2043,19,419,1000.3
20,1937420,021,9003,경기도,358,성남시 수정구,31,2.8,병원,293.3,964983,4514,13,238.7,635.9
21,1918088,012,9003,경기도,280,수원시 권선구,31,2.2,병원,520.9,953861,3362,12,432.5,1253.9
22,1624107,550,9003,전라남도,50,고흥군,36,3,병원,594.8,980296,876,18,469.4,1145.3
23,1815486,030,9003,충청남도,86,보령시,34,4.8,병원,501.6,920373,974,11,530.8,1078.5
24,1813687,530,9003,충청북도,45,옥천군,33,3.1,병원,473.3,1014054,536,12,547,1050.2
25,1646944,560,9003,전라남도,39,보성군,36,2.4,병원,463.2,966526,708,18,388.5,927.6
