,y_coor,sgg_cd,theme_cd,sido_nm,corp_cnt,sgg_nm,sido_cd,upregion_vs_corp_per,theme_cd_nm,corp_vs_family_rate,x_coor,biz_worker_cnt,avg_worker_rate,corp_vs_worker_rate,corp_vs_ppltn_rate
0,1819931,040,J002,대전광역시,158,유성구,25,19.1,약국,977.3,985041,411,3,1286.8,2255.9
1,1825925,080,J002,경상북도,51,상주시,37,3.9,약국,849.8,1050825,130,3,765.8,1800.2
2,1919651,014,J002,경기도,154,수원시 영통구,31,2.6,약국,938.6,960697,499,3,1085.5,2297.9
3,1686293,140,J002,부산광역시,95,수영구,21,5.5,약국,829.5,1146757,256,3,648.5,1767.4
4,1963392,100,J002,서울특별시,129,도봉구,11,2.2,약국,995.7,958762,348,3,577.6,2354.7
5,1708172,570,J002,경상남도,21,산청군,38,1.4,약국,755.6,1034913,42,2,765.4,1528.3
6,1945680,520,J002,강원도,22,횡성군,32,2.8,약국,905,1051007,43,2,1014.8,1976.6
7,1831438,020,J002,충청남도,69,공주시,34,6.1,약국,672.6,961940,143,2,820.3,1500.3
8,1951313,020,J002,서울특별시,174,중구,11,3,약국,322.5,955475,428,2,2226.7,655.2
9,1712887,100,J002,경상남도,146,양산시,38,9.5,약국,979.2,1139938,465,3,1114.2,2342.7
10,1984191,200,J002,경기도,167,파주시,31,2.8,약국,1088,939259,476,3,1337.3,2730.5
11,1969457,510,J002,인천광역시,26,강화군,23,2.1,약국,1100.6,906788,68,3,995.2,2477.4
12,1951538,160,J002,서울특별시,287,강서구,11,4.9,약국,871,940183,735,3,988,1907.5
13,1840335,010,J002,세종특별자치시,162,세종시,29,100,약국,896.9,978417,412,3,938.8,2202.2
14,1911640,191,J002,경기도,92,용인시 처인구,31,1.6,약국,1123.4,978073,266,3,1545.7,2749.5
15,1858061,044,J002,충청북도,87,청주시 청원구,33,10.8,약국,960.2,999226,257,3,1097.2,2197
16,1644673,020,J002,전라남도,147,여수시,36,14.6,약국,776.3,1014853,378,3,975.5,1770.6
17,1760385,040,J002,대구광역시,111,남구,22,7.8,약국,635.2,1098023,368,3,517.4,1278.2
18,1923340,020,J002,강원도,200,원주시,32,25.8,약국,775.5,1038061,509,3,824.4,1747.7
19,1677166,040,J002,부산광역시,56,영도구,21,3.3,약국,900,1142434,158,3,823,1964.8
20,1937420,021,J002,경기도,148,성남시 수정구,31,2.5,약국,709.5,964983,369,2,577.3,1538.2
21,1918088,012,J002,경기도,141,수원시 권선구,31,2.4,약국,1034.4,953861,342,2,858.8,2490
22,1624107,550,J002,전라남도,38,고흥군,36,3.8,약국,782.6,980296,89,2,617.6,1507
23,1815486,030,J002,충청남도,53,보령시,34,4.7,약국,813.9,920373,155,3,861.3,1750.1
24,1813687,530,J002,충청북도,21,옥천군,33,2.6,약국,1014.1,1014054,51,2,1172.1,2250.3
25,1646944,560,J002,전라남도,32,보성군,36,3.2,약국,564.5,966526,57,2,473.5,1130.5
26,1970822,030,J002,경기도,211,의정부시,31,3.6,약국,879.3,961975,625,3,626,2109.1
27,1948126,030,J002,서울특별시,136,용산구,11,2.3,약국,713.2,954044,270,2,1116.5,1494.8
28,1805651,530,J002,충청남도,46,부여군,34,4.1,약국,619.6,942227,88,2,524.8,1313.9
29,1924002,011,J002,경기도,118,수원시 장안구,31,2,약국,912.2,955998,317,3,676.5,2250
30,1854950,090,J002,경상북도,47,문경시,37,3.6,약국,662.9,1057944,111,2,576.1,1409
31,1941664,220,J002,서울특별시,268,서초구,11,4.6,약국,581.9,958560,647,2,1817.7,1425.4
32,1933607,042,J002,경기도,177,안양시 동안구,31,3,약국,639.3,951800,459,3,1021.7,1658.8
33,1851051,600,J002,경상북도,22,예천군,37,1.7,약국,1121.9,1082440,51,2,785.4,2416.9
34,1683335,115,J002,경상남도,79,창원시 진해구,38,5.2,약국,999.6,1114601,196,2,656.3,2360.9
35,1716394,560,J002,전라북도,17,순창군,35,1.5,약국,684.6,965795,34,2,605.2,1463.5
36,1686647,050,J002,부산광역시,216,부산진구,21,12.6,약국,743.3,1140531,706,3,798.1,1600.6
37,1951156,070,J002,인천광역시,127,계양구,23,10.2,약국,919.8,932401,357,3,758.9,2234.5
38,1780848,070,J002,경상북도,54,영천시,37,4.2,약국,848.9,1130001,119,2,978.7,1766.3
39,1809241,030,J002,대전광역시,278,서구,25,33.6,약국,745.1,986097,797,3,700.3,1680.4
40,1875250,060,J002,경상북도,56,영주시,37,4.3,약국,811.1,1097834,129,2,740.7,1795.3
41,1620308,600,J002,전라남도,38,해남군,36,3.8,약국,770.1,914371,93,2,775.6,1605.7
42,1645367,610,J002,전라남도,27,영암군,36,2.7,약국,889,922528,47,2,1457.5,1847.1
43,1909401,240,J002,경기도,307,화성시,31,5.2,약국,1112.2,946675,863,3,1829.9,2760.9
44,1751399,510,J002,대구광역시,101,달성군,22,7.1,약국,1021.9,1088378,237,2,1129.8,2528.9
45,1748541,590,J002,경상남도,40,거창군,38,2.6,약국,662.7,1036548,89,2,590.4,1452.9
46,1919956,013,J002,경기도,159,수원시 팔달구,31,2.7,약국,519.1,957129,485,3,666.6,1094.9
47,1647925,010,J002,전라남도,141,목포시,36,14,약국,676.9,900193,376,3,607,1525.9
48,1764044,012,J002,전라북도,189,전주시 덕진구,35,16.3,약국,721.1,965027,492,3,671.9,1690.7
49,2001219,610,J002,강원도,12,양양군,32,1.6,약국,1054.3,1098889,25,2,1352.7,2168.9
50,1760520,100,J002,경상북도,122,경산시,37,9.4,약국,1002.5,1118233,310,3,970.3,2272.7
51,1996680,270,J002,경기도,65,포천시,31,1.1,약국,946.2,978074,187,3,1583.1,2147.4
52,1809281,020,J002,대전광역시,155,중구,25,18.7,약국,634,992020,430,3,648.8,1440.9
53,1653378,680,J002,전라남도,12,신안군,36,1.2,약국,1399.8,891974,24,2,1216.4,2733.8
54,1944106,170,J002,서울특별시,213,구로구,11,3.7,약국,780.3,942116,595,3,1110.3,1786.8
55,1939588,090,J002,인천광역시,189,미추홀구,23,15.1,약국,928,926110,486,3,702.6,2092.8
56,1922614,280,J002,경기도,57,여주시,31,1,약국,799.5,1010256,143,3,1003.5,1888
57,1854070,570,J002,충청남도,51,예산군,34,4.5,약국,668.3,941822,108,2,747.8,1431.5
58,1699670,510,J002,전라남도,26,담양군,36,2.6,약국,719.4,954109,50,2,892.3,1623.2
59,1845157,560,J002,충청남도,52,홍성군,34,4.6,약국,840.2,924944,159,3,818.3,1876.6
60,1849902,043,J002,충청북도,120,청주시 흥덕구,33,14.9,약국,962,988309,298,2,1315.7,2193.3
61,1874748,550,J002,충청북도,44,진천군,33,5.5,약국,832.3,994694,101,2,1391,1859.6
62,1676689,020,J002,부산광역시,97,서구,21,5.7,약국,492.4,1138120,406,4,465.8,1042.1
63,1682455,020,J002,광주광역시,167,서구,24,20.3,약국,759,940831,396,2,989.8,1710.4
64,1699894,520,J002,경상남도,30,함안군,38,2,약국,891.8,1084640,64,2,1507.6,1963
65,1927318,160,J002,경기도,117,군포시,31,2,약국,892.5,948731,336,3,974.3,2208.6
66,1790350,540,J002,충청남도,39,서천군,34,3.5,약국,589.7,930213,75,2,713.5,1231
67,1909197,050,J002,강원도,20,태백시,32,2.6,약국,936.2,1131401,57,3,996.7,1982.9
68,1938630,060,J002,경기도,133,광명시,31,2.3,약국,832.2,943807,379,3,777,2117
