,y_coor,sgg_cd,theme_cd,sido_nm,corp_cnt,sgg_nm,sido_cd,upregion_vs_corp_per,theme_cd_nm,corp_vs_family_rate,x_coor,biz_worker_cnt,avg_worker_rate,corp_vs_worker_rate,corp_vs_ppltn_rate
0,1819931,040,J003,대전광역시,114,유성구,25,21.7,한방병원,1354.6,985041,492,4,1783.4,3126.6
1,1825925,080,J003,경상북도,24,상주시,37,3.8,한방병원,1805.8,1050825,78,3,1627.3,3825.4
2,1919651,014,J003,경기도,100,수원시 영통구,31,3,한방병원,1445.5,960697,492,5,1671.7,3538.7
3,1686293,140,J003,부산광역시,85,수영구,21,7.3,한방병원,927.1,1146757,315,4,724.8,1975.4
4,1963392,100,J003,서울특별시,85,도봉구,11,2.3,한방병원,1511,958762,382,4,876.7,3573.6
5,1708172,570,J003,경상남도,13,산청군,38,1.6,한방병원,1220.5,1034913,48,4,1236.5,2468.8
6,1945680,520,J003,강원도,14,횡성군,32,3.7,한방병원,1422.1,1051007,42,3,1594.7,3106.1
7,1831438,020,J003,충청남도,35,공주시,34,6.7,한방병원,1326,961940,171,5,1617.2,2957.7
8,1951313,020,J003,서울특별시,96,중구,11,2.6,한방병원,584.5,955475,415,4,4035.8,1187.5
9,1712887,100,J003,경상남도,85,양산시,38,10.4,한방병원,1681.9,1139938,565,7,1913.8,4024
10,1984191,200,J003,경기도,86,파주시,31,2.6,한방병원,2112.7,939259,463,5,2596.8,5302.2
11,1969457,510,J003,인천광역시,18,강화군,23,2.5,한방병원,1589.8,906788,65,4,1437.4,3578.5
12,1951538,160,J003,서울특별시,195,강서구,11,5.3,한방병원,1282,940183,1125,6,1454.1,2807.5
13,1840335,010,J003,세종특별자치시,86,세종시,29,100,한방병원,1689.5,978417,482,6,1768.5,4148.3
14,1911640,191,J003,경기도,46,용인시 처인구,31,1.4,한방병원,2246.8,978073,259,6,3091.3,5499
15,1858061,044,J003,충청북도,41,청주시 청원구,33,9.8,한방병원,2037.6,999226,153,4,2328.2,4661.9
16,1644673,020,J003,전라남도,62,여수시,36,15.5,한방병원,1840.5,1014853,347,6,2312.8,4197.9
17,1760385,040,J003,대구광역시,62,남구,22,6.9,한방병원,1137.2,1098023,217,4,926.3,2288.5
18,1923340,020,J003,강원도,114,원주시,32,30,한방병원,1360.6,1038061,582,5,1446.4,3066.2
19,1677166,040,J003,부산광역시,30,영도구,21,2.6,한방병원,1680,1142434,138,5,1536.2,3667.6
20,1937420,021,J003,경기도,77,성남시 수정구,31,2.3,한방병원,1363.8,964983,362,5,1109.7,2956.6
21,1918088,012,J003,경기도,84,수원시 권선구,31,2.5,한방병원,1736.3,953861,443,5,1441.6,4179.7
22,1624107,550,J003,전라남도,15,고흥군,36,3.7,한방병원,1982.6,980296,48,3,1564.5,3817.7
23,1815486,030,J003,충청남도,29,보령시,34,5.6,한방병원,1487.4,920373,118,4,1574.2,3198.4
24,1813687,530,J003,충청북도,15,옥천군,33,3.6,한방병원,1419.8,1014054,49,3,1641,3150.5
25,1646944,560,J003,전라남도,9,보성군,36,2.2,한방병원,2007.2,966526,31,3,1683.4,4019.7
26,1970822,030,J003,경기도,105,의정부시,31,3.1,한방병원,1767,961975,670,6,1257.9,4238.2
27,1948126,030,J003,서울특별시,62,용산구,11,1.7,한방병원,1564.3,954044,236,4,2449,3279
28,1805651,530,J003,충청남도,15,부여군,34,2.9,한방병원,1900,942227,68,5,1609.4,4029.3
29,1924002,011,J003,경기도,75,수원시 장안구,31,2.2,한방병원,1435.2,955998,296,4,1064.4,3539.9
30,1854950,090,J003,경상북도,17,문경시,37,2.7,한방병원,1832.6,1057944,69,4,1592.9,3895.5
31,1941664,220,J003,서울특별시,252,서초구,11,6.8,한방병원,618.8,958560,1393,6,1933.1,1515.9
32,1933607,042,J003,경기도,121,안양시 동안구,31,3.6,한방병원,935.1,951800,559,5,1494.5,2426.5
33,1851051,600,J003,경상북도,11,예천군,37,1.7,한방병원,2243.8,1082440,62,6,1570.7,4833.8
34,1683335,115,J003,경상남도,43,창원시 진해구,38,5.2,한방병원,1836.5,1114601,182,4,1205.7,4337.4
35,1716394,560,J003,전라북도,7,순창군,35,1.3,한방병원,1662.7,965795,26,4,1469.7,3554.1
36,1686647,050,J003,부산광역시,163,부산진구,21,14,한방병원,985,1140531,1004,6,1057.7,2121
37,1951156,070,J003,인천광역시,75,계양구,23,10.5,한방병원,1557.6,932401,590,8,1285.1,3783.7
38,1780848,070,J003,경상북도,36,영천시,37,5.7,한방병원,1273.3,1130001,135,4,1468.1,2649.4
39,1809241,030,J003,대전광역시,195,서구,25,37.1,한방병원,1062.2,986097,1397,7,998.4,2395.6
40,1875250,060,J003,경상북도,27,영주시,37,4.3,한방병원,1682.3,1097834,146,5,1536.2,3723.6
41,1620308,600,J003,전라남도,10,해남군,36,2.5,한방병원,2926.5,914371,36,4,2947.3,6101.7
42,1645367,610,J003,전라남도,14,영암군,36,3.5,한방병원,1714.5,922528,55,4,2810.9,3562.4
43,1909401,240,J003,경기도,164,화성시,31,4.9,한방병원,2081.9,946675,938,6,3425.4,5168.2
44,1751399,510,J003,대구광역시,61,달성군,22,6.8,한방병원,1691.9,1088378,275,5,1870.6,4187.2
45,1748541,590,J003,경상남도,13,거창군,38,1.6,한방병원,2039.1,1036548,50,4,1816.5,4470.5
46,1919956,013,J003,경기도,109,수원시 팔달구,31,3.3,한방병원,757.2,957129,692,6,972.4,1597.1
47,1647925,010,J003,전라남도,54,목포시,36,13.5,한방병원,1767.4,900193,516,10,1584.9,3984.3
48,1764044,012,J003,전라북도,90,전주시 덕진구,35,16.6,한방병원,1514.4,965027,778,9,1410.9,3550.5
49,2001219,610,J003,강원도,4,양양군,32,1.1,한방병원,3162.8,1098889,17,4,4058,6506.8
50,1760520,100,J003,경상북도,66,경산시,37,10.4,한방병원,1853.2,1118233,265,4,1793.7,4201.1
51,1996680,270,J003,경기도,23,포천시,31,0.7,한방병원,2674.1,978074,96,4,4474,6068.8
52,1809281,020,J003,대전광역시,87,중구,25,16.6,한방병원,1129.5,992020,419,5,1156,2567.1
53,1653378,680,J003,전라남도,6,신안군,36,1.5,한방병원,2799.7,891974,22,4,2432.8,5467.5
54,1944106,170,J003,서울특별시,116,구로구,11,3.1,한방병원,1432.7,942116,519,4,2038.7,3280.9
55,1939588,090,J003,인천광역시,106,미추홀구,23,14.8,한방병원,1654.6,926110,689,6,1252.7,3731.5
56,1922614,280,J003,경기도,28,여주시,31,0.8,한방병원,1627.5,1010256,153,5,2042.8,3843.4
57,1854070,570,J003,충청남도,21,예산군,34,4,한방병원,1623,941822,69,3,1816.2,3476.4
58,1699670,510,J003,전라남도,11,담양군,36,2.7,한방병원,1700.4,954109,64,6,2109.2,3836.7
