,subwayLine,stationName,stationCode
0,1호선,소요산역,100
465,1호선,직산역,P167
466,1호선,두정역,P168
467,1호선,천안역,P169
468,1호선,봉명역,P170
469,1호선,쌍용역,P171
470,1호선,아산역,P172
471,1호선,탕정역,P173
472,1호선,배방역,P174
473,1호선,온양온천역,P176
474,1호선,신창역,P177
463,1호선,평택역,P165
61,1호선,인천역,161
60,1호선,동인천역,160
59,1호선,도원역,159
58,1호선,제물포역,158
57,1호선,도화역,157
56,1호선,주안역,156
55,1호선,간석역,155
54,1호선,동암역,154
53,1호선,백운역,153
52,1호선,부평역,152
438,1호선,가산디지털단지역,P142
51,1호선,부개역,151
439,1호선,독산역,P143
441,1호선,광명역,P144-1
462,1호선,평택지제역,P164
461,1호선,서정리역,P163
460,1호선,송탄역,P162
459,1호선,진위역,P161
458,1호선,오산역,P160
457,1호선,오산대역,P159
456,1호선,세마역,P158
455,1호선,서동탄역,P157-1
454,1호선,병점역,P157
453,1호선,세류역,P156
452,1호선,수원역,P155
451,1호선,화서역,P154
450,1호선,성균관대역,P153
449,1호선,의왕역,P152
448,1호선,당정역,P151
447,1호선,군포역,P150
446,1호선,금정역,P149
445,1호선,명학역,P148
444,1호선,안양역,P147
443,1호선,관악역,P146
442,1호선,석수역,P145
440,1호선,금천구청역,P144
50,1호선,송내역,150
464,1호선,성환역,P166
48,1호선,부천역,148
32,1호선,시청역,132
31,1호선,종각역,131
27,1호선,동묘앞역,127
12,1호선,망월사역,112
13,1호선,도봉산역,113
14,1호선,도봉역,114
15,1호선,방학역,115
16,1호선,창동역,116
17,1호선,녹천역,117
18,1호선,월계역,118
19,1호선,광운대역,119
20,1호선,석계역,120
21,1호선,신이문역,121
22,1호선,외대앞역,122
23,1호선,회기역,123
24,1호선,청량리역,124
25,1호선,제기동역,125
49,1호선,중동역,149
30,1호선,종로3가역,130
29,1호선,종로5가역,129
28,1호선,동대문역,128
33,1호선,서울역,133
34,1호선,남영역,134
11,1호선,회룡역,111
10,1호선,의정부역,110
47,1호선,소사역,147
46,1호선,역곡역,146
45,1호선,온수역,145
44,1호선,오류동역,144
43,1호선,개봉역,143
42,1호선,구일역,142
35,1호선,용산역,135
40,1호선,신도림역,140
39,1호선,영등포역,139
38,1호선,신길역,138
41,1호선,구로역,141
1,1호선,동두천역,101
36,1호선,노량진역,136
9,1호선,가능역,109
8,1호선,녹양역,108
37,1호선,대방역,137
7,1호선,양주역,107
5,1호선,덕정역,105
4,1호선,지행역,104
3,1호선,동두천중앙역,103
2,1호선,보산역,102
6,1호선,덕계역,106
26,1호선,신설동역,126
115,2호선,충정로역,243
114,2호선,아현역,242
113,2호선,이대역,241
112,2호선,신촌역,240
111,2호선,홍대입구역,239
110,2호선,합정역,238
109,2호선,당산역,237
108,2호선,영등포구청역,236
96,2호선,봉천역,229
101,2호선,신도림역,234
81,2호선,강변역,214
80,2호선,구의역,213
79,2호선,건대입구역,212
78,2호선,성수역,211-R
72,2호선,성수역,211
70,2호선,한양대역,209
82,2호선,잠실나루역,215
69,2호선,왕십리역,208
67,2호선,신당역,206
66,2호선,동대문역사문화공원역,205
65,2호선,을지로4가역,204
64,2호선,을지로3가역,203
63,2호선,을지로입구역,202
62,2호선,시청역,201
68,2호선,상왕십리역,207
107,2호선,문래역,235
83,2호선,잠실역,216
85,2호선,종합운동장역,218
100,2호선,대림역,233
99,2호선,구로디지털단지역,232
98,2호선,신대방역,231
97,2호선,신림역,230
95,2호선,서울대입구역,228
94,2호선,낙성대역,227
84,2호선,잠실새내역,217
93,2호선,사당역,226
91,2호선,서초역,224
90,2호선,교대역,223
89,2호선,강남역,222
88,2호선,역삼역,221
87,2호선,선릉역,220
86,2호선,삼성역,219
92,2호선,방배역,225
